Data_value,STATUS,UNITS,Magnitude,Subject,Group
1395.969,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1429.28,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1481.028,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1539.276,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1522.218,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1432.52,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1365.241,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1363.644,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1189.735,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1144.938,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1390.589,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1310.912,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1241.466,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1288.648,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1772.086,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1554.221,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1441.386,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1364.769,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1771.028,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1665.84,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1554.397,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1484.434,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1817.118,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1582.915,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1421.593,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1614.752,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2089.453,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1817.439,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1814.973,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1791.805,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2325.251,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2001.763,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1861.241,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1755.338,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2252.24,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2085.945,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1878.254,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1840.381,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1266.409,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1289.978,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1221.29,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1266.784,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1329.146,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1441.463,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1550.764,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1514.258,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1543.74,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1520.037,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1541.723,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1640.076,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1661.117,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1647.026,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1579.43,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1567.01,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1516.879,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1789.084,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1813.765,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1803.821,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1936.695,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1982.547,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2019.118,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1986.382,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1987.768,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1941.884,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1953.378,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2072.815,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2004.7,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2036.986,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1283.554,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1264.88,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1243.594,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1257.209,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1335.465,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1448.058,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1524.728,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1538.56,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1527.752,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1524.978,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1555.325,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1625.673,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1665.564,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1637.697,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1588.009,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
2306.12,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2215.81,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2445,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2321.58,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2475.22,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2571.09,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3062.91,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2966.24,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2929.48,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2862.45,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3341.53,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3059.59,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3071.57,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2865.95,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3188.1,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2655.93,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2553.038,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3054.853,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3579.432,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3208.221,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3641.703,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3501.878,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3884.73,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3286.846,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3545.663,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3421.264,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3753.336,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3295.388,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3303.002,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3255.277,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2332.221,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2348.493,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2276.747,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2339.188,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2503.516,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2715.927,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2851.433,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3002.467,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2959.107,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3013.096,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3112.105,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3108.323,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3101.119,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3007.284,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2967.455,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2708.465,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
2578.188,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3195.627,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3328.238,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
3284.304,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1)
